Produk,Nama,Waktu,Review,Rating
Lenovo V15 G3 IAP i3-1215U 8GB 512GB W11 OHS,D***s,2 minggu lalu,Barang sesuai pesanan semoga awet,bintang 5
Lenovo LOQ 15IAX9I Core i5-12450HX 8GB 512GB Intel Arc A530M 4GB,thoe,2 minggu lalu,"ok, cuma pengirimannya agak lama, tapi semua ok, packing ok, barang ok, bonus juga ok, bonus semuanya berkelas, thx ya",bintang 5
Lenovo IdeaPad Pro 5 16APH8 Ryzen 7 7840HS 16G 1TB RTX 3050 6GB W11OHS,Heri,2 minggu lalu,"team costumer servicenya sat-set banget, responsif n makasih bonusnya",bintang 5
"Lenovo Monitor Legion R27q-30 27"" IPS 165Hz",Grook,2 minggu lalu,Dapat yang perfect.,bintang 5
Lenovo Lenovo V14 G3 IAP Core i3-1215U 8GB 512GB W11 OHS,Tony,2 minggu lalu,Barang Bagus,bintang 5
"Lenovo Monitor Legion R25i-30 24.5"" IPS 165Hz",Farhan,2 minggu lalu,"ini versi downgrade resolusi dari r27q-30. semua fitur hampir sama, buat yg VGA pas Pasan rata kanan di 1080p ini udh bagus bgt, beda lagi kalo pke yg 2k pas full screen... ",bintang 5
"Lenovo Monitor G34w-30 VA 34""",S***o,2 minggu lalu,Mantap sekali,bintang 5
"Lenovo Monitor G34w-30 VA 34""",Billy,2 minggu lalu,"Monitor sampai dgn selamat. Berfungsi dgn baik.
Respon jg cepat dan bs pengiriman instant. 👍👍👍",bintang 5
Lenovo IdeaCentre AIO 3 24IAP7 Core i3-1215U 8GB 512GB W11 OHS,J***y,2 minggu lalu,oke,bintang 5
Lenovo LOQ 15IRH8 Core i5-12450H 8GB 512GB RTX 3050 6GB W11 OHS,F***i,2 minggu lalu,"barang sesuai, pengiriman cepat",bintang 5
Lenovo LOQ 15APH8 Ryzen 5 7640HS 8GB 512GB RTX 3050 6GB W11 OHS,Yunul,2 minggu lalu,"mantap pelayanan dan laptopnya udah pasti tak diragukan lagi spec dan kualitasnya. top

thanks bonus payungnya the besttt",bintang 5
