Produk,Nama,Waktu,Review,Rating
Kaos polo polos / Kaos kerah / Kaos wangki,yuro,3 bulan lalu,Mantap.... rekomen..lah pokonamah,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Iskandar,3 bulan lalu,"Alhamdulillah.. Pesanan sdah sampai, Ukurannya pas tenyata yg M kk.. Bhan enak dipakai..harga terjangkau tpi bkn Murahan..Semoga suxes sllu dan berrokah  ushanyankk..🙏🙏... ",bintang 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 2 - Cotton Combed ,L***y,3 bulan lalu,ukuran XL nya kecil benet..gk rekom..,bintang 3
KAOS CALON PRESIDEN INDONESIA 2024 // ANIES BASWEDAN // KAOS POLITIK ,Nila,3 bulan lalu,"Kaosnya bagus, terima kasih pengirimannya cepat",bintang 5
Kaos wanita 1980 - Cotton Combed 30s,GATOT,3 bulan lalu,Ukurannya pas,bintang 5
Kaos Pria Wanita Viral Anies Wakanda No More Indonesia Forever ,Ahmad,3 bulan lalu,Ukurannya pas sesuai pesanan thanks sellers dan kurirnya,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Sisi,3 bulan lalu,"bagus bgt, dengan harga sesuai sg kualitas saran agar finishing sisa2 benang jahitan dibersihkan ya",bintang 5
Kaos Pria Wanita Viral Anies Wakanda No More Indonesia Forever ,Riyanto,3 bulan lalu,Ukurannya pas Tinggi badan 160 - 170 cm Berat badan 60 - 70 kg,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Indra,4 bulan lalu,"Ukurannya xlnya terlalu kecil, bb saya 65,
overall bagus untuk kainnya harga segitu wajar",bintang 5
Kaos Ganjar Mahfud Capres Cawapres 2024 // Baju Pria Wanita Politik,Gary,4 bulan lalu,bahan tipis..,bintang 3
KAOS CALON PRESIDEN INDONESIA 2024 // ANIES BASWEDAN // KAOS POLITIK ,Hawwin,4 bulan lalu,01 mantap,bintang 5
Kaos Pria Wanita Viral Anies Wakanda No More Indonesia Forever ,Aji,4 bulan lalu,Ukurannya pas Tinggi badan 171 - 180 cm. XL nya ukuran kecil...jx mesti naik 1 tingkat lagi.,bintang 4
Dress Katun Boba Bear,L***y,4 bulan lalu,"nyaman dipakai buat tdr, longgar dan adem bahan nya",bintang 5
Kaos pria O-neck bicycle,Setyawan,4 bulan lalu,"Ukurannya pas Tinggi badan < 160 cm
cepat sampainya
bahannya bagus
packing aman
terimakasih",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,r***y,4 bulan lalu,Ukurannya pas Tinggi badan 160 - 170 cm,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Daffa,4 bulan lalu,"bahan bagus ukurannya juga sama kyk yg abu²,hanya aja lama pengirimannya",bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Daffa,4 bulan lalu,modelnya adem warna oke cuma m nya kalo sedikit gedean dikit pas. kalo L kegedean,bintang 4
KAOS CALON PRESIDEN INDONESIA 2024 // PRABOWO // KAOS POLITIK UNISEX,Erwin,4 bulan lalu,siip dah terima kaosnya...keren n mantaap...thanks ya seller n tokped n kurir,bintang 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 2 - Cotton Combed ,Cynthia,4 bulan lalu,Ukurannya pas. bahan adem,bintang 5
Kaos Pria Wanita Viral Anies Wakanda No More Indonesia Forever ,Sudiyanto,4 bulan lalu,barang bagus,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Akbar,4 bulan lalu,Sesuai dengan harga,bintang 5
Kaos pria O-neck attack,K***n,4 bulan lalu,uk pas tapi bahan nya agak tipis ..pis...pis..,bintang 5
Kaos Distro Pria Skateboard,E***o,4 bulan lalu,Mantabs cepet banget sampenya,bintang 5
Kaos Ganjar Mahfud Capres Cawapres 2024 // Baju Pria Wanita Politik,P***r,4 bulan lalu,barang sesuai pesanan,bintang 5
Kaos Pria Wanita Viral Anies Wakanda No More Indonesia Forever ,e***r,4 bulan lalu,"alhamdulillah
ukuran paas
bahan nyaman dipakai",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,muhtarul,4 bulan lalu,pas dibadan. terima kasih,bintang 5
Croptop Wanita Bear - Lengan Pendek Cotton Combed 30s,G***a,4 bulan lalu,"warna²nya soft, ukurannya sesuai deskripsi. ketebalan nya sedang.",bintang 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 5 - Cotton Combed ,Aditeya,4 bulan lalu,"kecil2 ya ukurannya. tapi sesuai deskripsi, sablonan standart lah",bintang 5
Croptop Wanita Bear - Lengan Pendek Cotton Combed 30s,S***e,4 bulan lalu,ini bagus sih ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,yanti,4 bulan lalu,Ukurannya pas,bintang 5
KAOS CALON PRESIDEN INDONESIA 2024 // ANIES BASWEDAN // KAOS POLITIK ,H***i,4 bulan lalu,Ukurannya pas,bintang 5
Kaos Pria Wanita Viral Anies Wakanda No More Indonesia Forever ,Erma,5 bulan lalu,bahannya panas bgt,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,B***u,5 bulan lalu,pengiriman lama....ukuran baju ga sesuai....ukuran xxl seperti ukuran L...selebihnya ok lah.....,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,M***d,5 bulan lalu,Ukurannya terlalu kecil Tinggi badan < 160 cm Berat badan > 80 kg,bintang 4
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 1 - Cotton Combed ,Luis,5 bulan lalu,bagus,bintang 5
Kaos Imlek Pria Wanita Terbaru 2024 Tahun Naga kode 1 - Cotton Combed ,Luis,5 bulan lalu,bagus,bintang 5
Kaos Polos Wanita Cotton Combed 30s,n***s,5 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Denny,5 bulan lalu,bagus. slim fit. adem. oke banget lah buat harga segini,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Edy,5 bulan lalu,Size XXL spt size umumnya L,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,Muhamad,5 bulan lalu,"yg warna hitam, di karet di tangannya ga rapih bgt. yg merah maroon ok",bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,Agoeng,5 bulan lalu,Ukurannya terlalu kecil Tinggi badan 171 - 180cm Berat badan 71 - 80 kg,bintang 5
Kaos pria O-neck bicycle,F***r,5 bulan lalu,good seller...,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,S***i,5 bulan lalu,"bahan tipis, jahitan rapi, sesuai harga ,untuk seragam lumayan, tapi size nya memang size lebih kecil dari yg umum, model slimfit sizing nya,apa karena dideskripsi juga s... ",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***t,5 bulan lalu,Ukurannya pas,bintang 5
Croptop Wanita Bear - Lengan Pendek Cotton Combed 30s,Tunik,5 bulan lalu,"Ukurannya pas Tinggi badan 150 - 160 cm,harga terjangkau,bahan bagus pokoknya nggak mengecewakan. Makasih🙏",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,NGADIYANTO,5 bulan lalu,"Semoga berkah, Pengiriman cepat,",bintang 5
Kaos Zodiak Wanita Aquarius - Cotton Combed 30s,F***h,5 bulan lalu,Ukurannya pas Berat badan 50 - 60 dan adeeeem banged,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Y***n,5 bulan lalu,bahan sangat jelek. yaah ada harga ada kwalitas.,bintang 3
Kaos polo polos / Kaos kerah / Kaos wangki,Saktiva,5 bulan lalu,"beli 3, ada defect smua di bagian kerah nya sisa benang pintal gitu. bahan nya juga gerah buat di daerah panas mah. cuma worth sih seharga sgitu. sama kayanya ini ga bisa... ",bintang 4
Kaos polo polos / Kaos kerah / Kaos wangki,Ijul,5 bulan lalu,Ukurannya terlalu kecil,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,A***a,5 bulan lalu,sesuai pesanan. Ukurannya pas.,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,M***h,5 bulan lalu,barang sudah sampai...kualitas sesuai harganya lah..ukurannya XXL tapi agak kecil kayak ukuran L..,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Fristia,5 bulan lalu,"ukurannya pas, cukup oke dg harga segitu...",bintang 5
KAOS CALON PRESIDEN INDONESIA 2024 // ANIES BASWEDAN // KAOS POLITIK ,R***h,5 bulan lalu,indonesia porever,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,R***i,5 bulan lalu,"harga segini, barang sesuai. siip",bintang 5
Kaos pria O-neck Sgame,Sugiarto,5 bulan lalu,ok,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yogi,5 bulan lalu,agak tipis kaosnya,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Tjayadi,5 bulan lalu,"Modelnya pas dibadan,  kwalitas barangnya lumayan.  Tinggi badan 171 - 180 cm",bintang 5
Kaos Pria O-neck Ikigai,Mohamad,5 bulan lalu,"Ukurannya terlalu kecil  Tinggi badan 160 - 170 cm
saran ukuran M pesenya L aja",bintang 5
Kaos Pria O-neck Elang,Mohamad,5 bulan lalu,ukuran M terlalu kecil menurut saya next order lagi ukuran L Berat badan < 60 kg Tinggi badan 160 - 170 cm,bintang 5
Croptop Wanita // Basic Croptop - Lengan Pendek Cotton Combed 30s,Yunarsih,6 bulan lalu,Ukurannya pas,bintang 5
Kaos Pria O-neck 75%,Y***n,6 bulan lalu,"Ukurannya pas , anak saya suka. warna coksu nya keren",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Laksmono,6 bulan lalu,Ukurannya terlalu kecil,bintang 4
Kaos Anies Muhaimin Capres Cawapres  2024 // Baju Pria Wanita Politik ,I***u,6 bulan lalu,"Ukurannya pas, bahannya cukup baik. Untuktinggi badan 160 - 170 cm, cukuplah.",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Yayan,6 bulan lalu,"sesuai lah sama harga, cuman kalo agak pas banget ukurannya, saran aja buat yang mau beli, size nya naik 1 atau 2 size dari yang biasa dipake",bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,a***i,6 bulan lalu,Ukurannya pas Tinggi badan < 160 cm,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,R***R,6 bulan lalu,pas size nya bahan oke,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,Andi,6 bulan lalu,Bahan sesuai dengan harga,bintang 5
Baju Wanita Kaos Natal Merry Christmas - Cotton Combed 30s,T***a,6 bulan lalu,Barang sesuai pesanan & pengiriman cepat. Terima kasih,bintang 5
Kaos Prabowo Gibran Capres Cawapres 2024 // Baju Pria Wanita Politik ,Aris,6 bulan lalu,Ukurannya pas,bintang 5
Kaos polo polos / Kaos kerah / Kaos wangki,hariyanto,6 bulan lalu,Ukurannya pas,bintang 5
